publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-16T00:45:10Z,@ost4969,SEMAKIN OPTIMIS GANJAR PRANOWO -PAK MAHFUD MD PILIHAN TERBAIK RAKYAT CERDAS MENANG PILPRES 🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟💪💪💪💪💪💪💪💪💪💪<br>RAPATKAN BARISAN RAKYAT CERDAS dari SABANG sampai MERAUKE berjuang MENANGKAN GAMA.....<br>KAWAL KETAT proses PILPRES sampai TUNTAS 💪💪💪💪💪💪💪💪💪💪🤟🤟🤟🤟🤟🤟🌹🌹🌹🌹🌹🌹🌹🌹🌹,0
2023-12-15T17:23:08Z,@syafrizalahmad4760,Debat kok mesti joget lagi,0
2023-12-15T17:21:49Z,@syafrizalahmad4760,Nasib baik gak ada meja....,0
2023-12-15T16:40:23Z,@TaufikHidayat-db8ls,"Ekonomi paling pesat &amp; tinggi di era jokowi? Yok masyarakat komen, emng bener apa yg disebutin prabowo?",0
2023-12-15T16:39:09Z,@TaufikHidayat-db8ls,"Kalau di medsos, beeeh gila banget buzzer ny prabowo - gibran, muji nya gak nanggung, ngehina nya gak kira2. Enak ya kalau punya bujet besar &amp; mungkin ada cawe-cawe dr pemerintah, gak kebayang gmna cr balikin modal ny kalau menang pilpres &amp; siapa2 aka yg dibagi jabatan krn timses ny gemuk 😅",0
2023-12-15T16:15:05Z,@AniSumarni-wm2vr,Assalamualaekum slmt malam utk smuanya Kena apa di dlm debat ini hrs emosi dan kritik  Yaa smg kita smuanya bisa saling menjaga etika Spy tdk ada dendam diantara kita Smg berikutnya lebih baik Intinya saling menghargai smg dilancarkan smuanya Sukses utk berikutnya Amin yaa robb,0
2023-12-15T15:59:03Z,@AniSumarni-wm2vr,Assalamualaekum ini debat yg sgt seru skli Ada kritik tapi smuanya langsung ada jawaban Yg pastinya Oposisi dan Pemerintah itu sama2 terhormat Dgn adanya yg tsb diatas tadi ini bisa jd Penentuan utk rakyat indonesia Smg dilancarkan smuanya Sukses utk kedepannya Amin yaa robb,0
2023-12-15T15:41:47Z,@AniSumarni-wm2vr,Assalamualaekum Yg disampaikan oleh Bpk Dr H ARB Indonesia ini hrs ada Perubahan Apakah kekeran akan dibiarkan Smua ini hrs dicegah Yg intinya hrs ada keadilan Smg terwujut Amin yaa robb,0
2023-12-15T14:33:46Z,@dewiyanainso6600,"Anis2 lupa kesalahannya, watu demo 212 dimana anis, Ganjar menyerang Prabowo, debat keluar dari materinya.",0
2023-12-15T13:29:38Z,@Lapor_Game,"Saya Hanya Usul,mohon di baca , Mungkin Gagasan Saya juga Lucu , Tapi Kalau Di Management Dengan Baik ,dan Ada Tempat Dimana Gagasan Ini Di Dukung Oleh Pemerintah dan Di Fasilitasi oleh Pemerintah.<br>Saya Dari Keluarga Yang Kurang Mampu Untuk Melanjutkan Pendidikan Yang Tinggi , Dan Saya Juga Kurang Beruntung Didalam urusan Perekonomian , mau kerja apa ? Jualan perlu modal ,  mau kerja pt atau karyawan ada masa waktu dimana paling 6-2 tahun ,habis itu nganggur .ok kita langsung aja , bayangkan penduduk indonesia ada 276 jt . Sangking banyaknya , dan saya yakin 50% dari penduduk indonesia yang jumlahnya 276 jt mempunyai alat teknologi informasi ( hp ) .. bayangkan jika setiap warganya atau masyarakatnya Di Management Dan di fasilitasi , serta di bimbing , untuk Membuat ,dan menjadi Konten Kreator . Youtube Misalnya .Lalu di arahkan di management oleh pemerintah , serta di bimbing , untuk membuat akun youtube untuk menjadi konten kreator , dan penduduk indonesia yang jumlahnya 276 jt , saling support ,saling subscribe, saling nonton ke sesama saling dukung chanel rakyat atau warga republik indonesia , besar kemungkinan akan membantu perekonomian rakyat secara tidak langsung , tidak perlu pendidikan tinggi , tidak perlu pengalaman bagus dan tidak perlu modal banyak , warga indonesia rakyat indonesia akan mendapatkan penghasilan setiap bulannya dengan menjadi konten kreator , tentunya oleh pemerintah di buatkan tempat ,bimbingan ,pengawasan, dan fasilitas serta di dukung penuh oleh pemerintah yang mana dibuatkan wadah untuk support konten kreator dan menggerakkan masyarakat indonesia untuk mendukung semua kpnten kreator , suka tidak suka dengan kontennya , minimal di dukung dahulu ,, bayangkan saja misal 1 konten kreator memiliki 1 jt subscreber saja , berapa penghasilan akan di dapat . Apapun kontennya , misal soal masak, edukasi , hiburan atau permainan , atau konten keluarga misal, atau konten seputar keseruan alam , konten menanam padi misal , apapun , tapi pemerintah bentuk wadah ,organisasi ,dan tempat dimanna konten kreator di dukung di fasilitasi serta di buatkan undang&quot; agar salong support misalnya , mungkin tidak ada lagi pengangguran atau kemiskinan di indonesia. Karna semuanya punya penghasilan , dan ini bisa mendorong kreatifitas untuk mengembangkan kontennya ide nya dan perekonomian pelaku konten kreator . Mungkin itu saja .. semua kalangan bisa menjadi konten kreator dan bisa menambah perekonomian kesetaraan..  mungkin sedikit konyol gagasan saya ,tapi kalo di wujudkan mungkin juga bisa efektif mengatasi kemiskinan . Terimakasih yang sudah mebaca , semoga ada yang bisa memfasilitasi , mengawasi dan memberikan ruang untuk konten kreator untuk bersatu bahu membahu untuk perekonomian kesejahteraan .",0
2023-12-15T10:45:38Z,@SaniaTia-ii4eu,"Kami sekeluarga tetap pilih PDIP dan ganjar Mahfud<br>Karena ngga pro Israe<br>Dan di dukung para ulama para kyai para habaib para Khotib dan gen z dan y dan orang 2 pintar,,,,<br>Ganjar penuh pretasi,,ngga kayak nooh,,, ngga ada prestasi tapi exsis jd capres mikir,,,,pasti didukung pihak penjajah zioni,,,pake otak ,,",0
2023-12-15T10:27:24Z,@mardlotillah3255,P,0
2023-12-15T10:27:09Z,@mardlotillah3255,"<a href=""https://www.youtube.com/watch?v=R_CKNn2AY2Y&amp;t=43m20s"">43:20</a>",0
2023-12-15T10:26:10Z,@mardlotillah3255,"<a href=""https://www.youtube.com/watch?v=R_CKNn2AY2Y&amp;t=42m19s"">42:19</a>",0
2023-12-15T08:17:21Z,@NinjaZxOrIndonesia,AMIN Sangat Berkualitas,0
2023-12-15T07:58:03Z,@simonsodi6273,Penampilam pak Ganjar minafik fan sombpng kami tdk butuh presiden dombonh fan tdk ada bukti nolong masarakat banyak gereja dijawa tengah tdk bisa beribada hari minggu  malahanditutup warga jawa tenga yg bpk pimpin.,0
2023-12-15T07:27:38Z,@user-mb8zk6zt5f,No 2,0
2023-12-15T07:26:08Z,@user-sm4wm3gq4o,Anis❤,0
2023-12-15T07:06:43Z,@srysulastry6,1 AMIN,0
2023-12-15T06:46:18Z,@agusrot8408,Isi debatnya ndak bermutu isinya cuma saling menjatuhkan bukan bagaimna membuat Indonesia menjadi di segani dunia.. Saya malah respek dgn program yg di sampaikan bosman mardigu,0
2023-12-15T06:44:47Z,@lilisnursiah8212,1,0
2023-12-15T06:43:10Z,@user-ki3vy2hx7k,"Debat TDK mengubah dukungan  sebab, debat hanyalah simbol",0
2023-12-15T06:31:39Z,@apamachri268,ANIS ITU ORANG MUNAFIK HANCUR INDONESIA KALAU DIPIMPIN ANIS.  DIA ORANG KUNINGAN  JABAR SEDAERAH DG SAYA. TAPI GA MAU MENDUKUNG DIA.,0
2023-12-15T06:28:20Z,@apamachri268,ANIS ITU HANYA PANDAI NGOMONG TAPI KERJA GA BISA DI JKT BANYAK BOHONG KREDIT 0% BOHONG.,0
2023-12-15T06:14:14Z,@asepsumitra6597,Anies gagasann cumn bisa ngomong ajh gagasan yg d terapkn d DKi jg bnyaK yg Terbengkalai dn bnyak yg tidk Terwujud,0
2023-12-15T06:06:03Z,@padehapid6734,Belum ada capres yg proggramya mau mensejshteraksn rakyat.jsdi bingung msu pilih mans.........,0
2023-12-15T06:04:48Z,@anwaraliali3977,Gelagapan wowo,0
2023-12-15T06:04:37Z,@anwaraliali3977,Gelagapan wowo,0
2023-12-15T06:04:34Z,@anwaraliali3977,Gelagapan wowo,0
2023-12-15T05:58:29Z,@mrmukhayat7861,"Unggul Paslon yang mana? Sangat subjektif, sesuai siapa yang didukungnya. Bagi pendukung 01, mesti unggul yg nomor 01, dstnya",0
2023-12-15T05:15:33Z,@tashintoami-lk6yp,Anis menjawab seolah semua masalah bangsa ini  mudah diselesaikan alias sok tau..biasanya orang yg sok tau mmg tidak bisa bekerja..orang yg sedikit bicara mala kebih cendeung banyak bekerja..saya lebih tertarik sama pak ganjar,0
2023-12-15T04:57:20Z,@risaporirisapori9493,Aanes jangan kau banyak omongkosing ..diwaktu kampanye kau pintar  merangkai kata ujungnya omo.ngkosong .kau hanya mau cari suara.jakarta sajakau tdk bisa urus apalagi mau urus  negara indonesia yang begini besar jangan kau banyak omongkosong <br>.jangan kau harap kau mau jadi presiden indonesia.,0
2023-12-15T04:55:29Z,@bidangpsdlhkotacirebon7637,prabowo baper kan keliatan menjilat penguasa,0
2023-12-15T04:44:30Z,@wongndeso17801,"ANIS MENGAKUI BAGAIMANA DI JAKARTA PAKAI ORANG DALAM, TGUPP , BUMD, DAN KEPALA SUKU DINAS SEMUA ORDAL ANIS .",0
2023-12-15T04:25:03Z,@ruthspencer4928,No 1 cuma bisa ngomong.,0
2023-12-15T04:09:51Z,@yuliananarwastu9779,"Walaupun banyak bicara, pandai berkata-kata, tetapi lihatlah hasil kerjanya....dan jangan pilih yg selalu berbohong, dan menjilat ludahnya sendiri. Jijik kan kalau orang yg menjilat ludah nya sendiri.....Lihat rekam jejak, baik di kinerja, maupun kata-kata dan jejak electroniknya...😁😁😁😁😁😁",0
2023-12-15T04:09:19Z,@MamanSunarman-sl4bs,Anis jago ngomong kerja jeblok,0
2023-12-15T04:04:29Z,@yunidanida5792,"Jokowi aza yg di puja puji sm Bowo...karena anaknya jd wakilnya,Pak Bowo dulu sm sekarang beda",0
2023-12-15T03:50:00Z,@DinaDina-it7et,Senggol dong bos<br>Sprt nya pak anis jd presiden tak terelakan lg<br>Udh takdir kali ya,0
2023-12-15T03:18:33Z,@Samsul-pp3lg,"selamat siang Indonesia &quot; salam Pancasila, UUD, binekatunggalika, salam sehat selalu PK Ganjar Pranowo, Mahmud MD, apabila menang di satu putaran presiden RI,1, bawalah Indonesia menjadi negara Indonesia yang maju, bawalah rakyat Indonesia menjadi rakyat yang gemahrifah lohjinawi, semga bk menjadi orang yang berbintang, Amanah.",0
2023-12-15T03:15:41Z,@shasaflower3002,"PRABOWO bicara tidak menatap lawan bicara, seperti mendengarkan sesuatu &quot;pendekte&quot;. 🤔",0
2023-12-15T03:01:55Z,@my-jf8wf,Ahli bicara ya pasti akan pandai ni ara.,0
2023-12-15T03:01:19Z,@dedipurwanto1049,Pandai berbicara bukan jaminan pandai bekerja begitu juga sebaliknya. Jadi yg tdk pandai bicara bs jadi lebih pintar bekerja. Harapannya sih pandai bicara dan pandai bekerja,2
2023-12-15T02:59:50Z,@efranyandri9092,SAYA SETUJU APA YG D UCAPKAN ANIS&quot;HUKUM HARUS DTEGAKKAN&quot; NAMUN UCAPANNYA TDK KONSISTEN ATW BERTOLAK BELKNG ATAS APA YG TELAH DILAKUKANYA SAAT MENJABAT GUB.DKI   SPERTI MENERBITKAN IMB TANPA MELALUI PROSEDURE YG SAH....DGN ALASAN KEBERPIHAKKAN TETAP TIDAK BISA DBENARKAN.....,0
2023-12-15T02:53:33Z,@budheyati7358,Jawaban PK Ganjar mantap dan cekatan👍,0
2023-12-15T02:48:34Z,@Random-HanAzza,Amin bravo,0
2023-12-15T02:43:47Z,@sylviengdwg3849,"Pak anis unggul dlm debat,,semoga menjadi  Presiden RI",0
2023-12-15T02:42:32Z,@hendriknowosetyo5569,Ngomong opo anis ini nggak ngerti opo2 semvarsngan sj ngomong nya sj,0
2023-12-15T02:14:56Z,@danaajah1432,Debat gk berpengaruh hanya pintar omong doang ..kya anis pinter ngomong tpi buktinya gk ada,0
2023-12-15T02:12:42Z,@jakatingkir377,Antara capres ini yg paling berkualitas hanya pak Anis,0
2023-12-15T02:09:39Z,@aminpapeo1156,GAYA PRABOWO NAMPAK HENDAK MENDIKTE N MENEKAN GAYA ITU MENUNJUKN OTORITER ALA KOBOY,0
2023-12-15T01:58:39Z,@sukiransukiran9262,Ssaat debat ryt mniilai 0 😂😂😂😂,0
2023-12-15T01:48:12Z,@baparahayu1269,❤❤❤❤bp anies presiden RI 2024,0
2023-12-15T01:47:04Z,@sukiransukiran9262,Ya gak. Lah cnntohnya SBy. Ahy tentara cerdaaas,0
2023-12-15T01:31:27Z,@ruswanto9103,Kalau tidak mampu mendingan mundur dari pada jadi pergunjingan rakyat akirnya. Nanti stroke.kasihan deh.,0
2023-12-15T01:13:46Z,@muryantomuryanto8728,"Ini debat bukan capres Jokowi, masa dibawa bawa.... Subsantinya gak nalar",0
2023-12-15T01:10:23Z,@kesantunan888,Gak punya gagasan minim prestasi,0
2023-12-15T01:05:41Z,@kesantunan888,Pak anies sudah punya ide ide gagasan dengan rekam jejaknya yg gak jelas itu prabowo dan ganjar .,0
2023-12-15T00:54:29Z,@acinjauw9178,NKRI PASTI AKAN PECAH,0
2023-12-15T00:54:20Z,@mohshodiq8351,Capres bicaranya selalu fiktif nis anis.dia selalu mengkritik pemerintah setiap hari saja tidak ada yg mengganggukokbilang menakut nakuti.gombal mukio lambene.,0
2023-12-15T00:11:25Z,@dhian666,GAK SEDANG BERKHAYAL GAK  BANYAK TEORI YA PILIH YG JELAS AJA SESUAI PENGALAMAN 🤟🤟🤟GANJAR MAHFUDZ 🤟🤟🤟🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,0
2023-12-14T23:56:07Z,@mgshartini5586,Prabowo emosional dh jlas tdk baik jd presiden,0
2023-12-14T23:28:29Z,@nanasutisnasutisna3192,Semua capres bagus tujuannya mau jadi presiden,0
2023-12-14T23:27:31Z,@nanasutisnasutisna3192,Biasanya calon capres yang banyak omong nya  kurang bagus u tuk jadi presiden soalnya dia nanti klo udah jadi pengusaha  apa yng di perbuat menurut dia pasti di langgar,0
2023-12-14T23:23:24Z,@nanasutisnasutisna3192,Menurut saya sebagai anak lahir dari kampung hasil debat 3 capres semua menang,0
2023-12-14T23:22:36Z,@RudyPesik-oy4wm,RETORIKA ANIS SAMA KETIKA DIA MAJU PILKADA DKI......,0
2023-12-14T22:58:02Z,@ganesa-ec6et,ORANG KLO MENGUNGKIT KEJELEKAN ORANG DIMASA LALU BUKAN PUNYA NILAI PLUS TAPI JUSTRU MENURUN CONTOH NO. 2 KE NO. 1  SBB ITU GAK PERLU DÍUNGKAP SOAL KEBAIKAÑ PASRAHKAN KE RAKYAT,0
2023-12-14T22:43:28Z,@baiturrahimmasjid5073,Anies Yes Insa Alloh Menang,1
2023-12-14T21:39:33Z,@martonvlog75,"Anis bicara lebih ke teoritis awang2, prabowo lebih kepada kontektual di lapangan yg sebenarnya terjadi. Ganjar normatif formal.",0
2023-12-14T21:25:58Z,@kenziedzaky5035,Kalau cari capres yang pinter ngomng dan nigeles ya anis yang tepat karna dki aja d php dengan dp 0 pada akhhir nya zonkkkk,0
2023-12-14T21:16:06Z,@emilsalim4680,Ini dan itu dan ini. Pilihlah capres yang pakai peci yg cerdas jujur amanah dan berwibawa,0
2023-12-14T21:14:07Z,@E.D.O3829,GANJAR TETAP TERDEPAN..... RASIONAL JELAS DAN SANGAT MEYAKINKAN..❤❤❤❤❤❤❤❤❤❤❤❤❤,1
2023-12-15T01:05:30Z,@rusdanayiz503,Iya meyakinkan hobi nonton porno 😂😂😅,0
2023-12-15T01:06:52Z,@kesantunan888,Gak jelas ide gagasan nya cuma ikut ikutan prabowo,0
2023-12-14T21:13:09Z,@emilsalim4680,"Eeh tunggu dulu aku mau jawab. Dngan tdk memilih paslon no2, berarti kita sdh menyelamatkan bangsa. Kt semua mungkin setuju klu kt tdk mau di pimpin sm pemimpin yg emosian yg bisanya cm berjoget tp wawasan sempit",0
2023-12-14T20:50:24Z,@shandy157,Banyak mulut itu contoh elo jadi gubernur aja Jakarta di acak2 ngecet2 gak jelas jadi cemong semua tuh jkr buangbuang duit aja lo! Udah rapihrapih bersih jkr dibikin sama pak ahok gara2 elo jkr jadi ancur dasar si mulut manis!tong kosong bunyi nyaringnya menismeniiis jual agama aja lo SHOK agamis udah masuk pesantren aja lagi sonoh🤣🤣🤣,0
2023-12-14T20:28:19Z,@watiwira-ig1et,ANIS  MANIS  DI BBIR  PAHIT  DI HATI  MONAS  DLU  DI HANCUR KAN,0
2023-12-14T20:23:57Z,@user-qw4zt7lg1m,"Kalau menurut saya mah debat capres ini milik semua capres, karena brdebat itu bukan harus berkata - kata dan tidak memahami pakta nyata terhadap negara kita.<br>Capres itu bukan berarti harus pandai mengukir kata tapi harus pandai berfikir nyata negara kita sedang apa dan bagaimana solusinya.<br>Kalau pemimpin hanya mengandalkan kata - kata yang nyalon mc sandiwara saja.",1
2023-12-14T20:19:49Z,@ThomuanPohan-hn9wz,"Selama pak Prabowo jadi menteri pertahanan bapak kemana aja,bukankah selama bapak jadi menteri pertahanan banyak korban baik sipil  , aparat kepolisian bahkan anggota TNI banyak yg tewas . Prabowo salam debat hanya bisa jual nama Jokowi,lalu pak Prabowo mau ngapain ?;Joget aja pak Prabowo joget aja.",0
2023-12-14T18:30:21Z,@ahmadbahrudin1940,01 a mazing,0
2023-12-14T15:59:04Z,@user-dk7zc5rh9i,Mas Anis...mas Anis....anda itu munafik hanya pintar ngomong...banyak bacot....kami tidak butuh bacot mu...yg kami butuh kan eksen....muak dengar kata kata manis mu...!,0
2023-12-14T13:25:30Z,@xiomicomuniti5640,Orang cerdas pilih p.Anies.,0
2023-12-14T13:00:21Z,@millamuhammad5685,Bismillah.... Pak Anis Presidenku,1
2023-12-14T12:46:55Z,@double-gproject1207,"paling sebel pas ANIS bahas ORDAL, apakah ANIS gak pake ORDAL sampe jadi seperti sekarang?",0
2023-12-14T12:43:07Z,@dadangyusuf8601,Jualan jokowi  lo penjilat wowo...,0
2023-12-14T12:40:33Z,@purwantimekar9980,"Prabowo memang bungklon, mncla mencle saiki ngomibg jokower baik ndisek ngelek2 jokower ooooool",0
2023-12-14T12:40:06Z,@nelsah7327,Omong kosong,0
